0, !, 185.1.68.3, AS60917, , DE-CIX Madrid, ES, Madrid
1119, !, 206.223.119.197, AS13649, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
1120, !, 195.66.236.52, AS132591, LINX, London Internet Exchange, GB//Kingdom United, London
1121, !, 103.26.68.78, AS13335, MegaIX Sydney, Megaport MegaIX Sydney, AU, Sydney
1122, !, 195.66.226.38, AS24482, LINX, London Internet Exchange, GB//Kingdom United, London
1123, !, 194.68.128.220, AS2863, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
1124, !, 178.18.226.226, AS15377, DATAIX, Peering LTD, RU, RU St Petersburg Moscow Omsk Ekaterinburg Khabarovsk Novosibirs
1125, !, 80.81.194.221, AS50010, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1126, !, 80.81.192.82, AS9121, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1127, !, 200.0.20.25, AS20940, AMS-IX Caribbean, , CW, Curacao//Willemstad
1128, !, 193.42.155.28, AS50472, ECIX HAM, European Commercial Internet Exchange Hamburg, DE, Hamburg
1129, !, 91.210.16.67, AS46489, NIX.CZ, NIX.CZ - Neutral Internet eXchange for the Czech Republic, CZ//Republic Czech, Prague
1130, !, 196.223.22.45, AS36943, CINX, Cape Town Internet Exchange, ZA//Africa South, Cape Town
1131, !, 196.46.25.252, AS37656, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
1132, !, 194.68.128.183, AS44581, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
1133, ?, 198.32.118.76, AS12989, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
1134, ?, 187.16.217.145, AS28311, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
1135, !, 80.249.211.58, AS42473, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1136, !, 195.66.224.13, AS61955, LINX, London Internet Exchange, GB//Kingdom United, London
1137, !, 194.85.107.54, AS28917, MSK-IX Ekaterinburg, MSK-IX Ekaterinburg, RU, Ekaterinburg
1138, !, 195.66.226.249, AS44050, LINX, London Internet Exchange, GB//Kingdom United, London
1139, !, 185.6.36.48, AS50088, INEX LAN1, Internet Neutral Exchange Association Ltd., IE, Dublin
1140, !, 193.178.185.25, AS31474, BCIX, Berlin Commercial Internet Exchange, DE, Berlin
1141, !, 194.68.129.200, AS199660, SFINX, Service for French Internet Exchange, FR, Paris
1142, !, 194.116.96.57, AS44219, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
1143, !, 123.255.91.50, AS3661, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
1144, !, 195.66.238.102, AS37271, LINX, London Internet Exchange, GB//Kingdom United, London
1145, !, 188.93.170.57, AS29169, LU-CIX, Luxembourg Commercial Internet Exchange, LU, Luxembourg
1146, !, 206.72.210.15, AS14633, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
1147, !, 196.223.14.136, AS42909, JINX, Johannesburg Internet Exchange, ZA//Africa South, Johannesburg
1148, !, 183.177.61.10, AS17498, Equinix Melbourne, Equinix Melbourne, AU, Melbourne
1149, !, 195.42.144.151, AS48504, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
1150, !, 80.249.209.134, AS35366, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1151, !, 195.66.225.194, AS24218, LINX, London Internet Exchange, GB//Kingdom United, London
1152, !, 80.81.194.163, AS39915, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1153, !, 80.81.194.232, AS201535, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1154, !, 206.72.211.100, AS27647, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
1155, !, 193.136.250.25, AS6939, GIGA-PIX, Gigabit Portugese Internet Exchange, PT, Lisbon
1156, !, 210.62.255.36, AS9924, TWIX, Taiwan Internet Exchange, TW, Taipei
1157, !, 192.108.148.50, AS42005, , Slovak Internet Exchange Bratislava, SK, Bratislava
1158, !, 196.10.140.93, AS26415, NAPAfrica, NAPAfrica Cape Town, ZA//Africa South, Cape Town
1159, !, 198.32.124.175, AS22356, NOTA, NAP of the Americas, US, Miami
1160, !, 206.72.210.226, AS2906, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
1161, !, 195.66.227.124, AS49249, LINX, London Internet Exchange, GB//Kingdom United, London
1162, !, 80.81.192.103, AS15830, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1163, !, 218.100.52.148, AS8674, NSW-IX, , AU, Sydney NSW
1164, !, 192.121.80.2, AS57151, STHIX, Stockholm Internet eXchange, SE, Stockholm
1165, !, 198.32.195.45, AS13857, NWAX, Northwest Access Exchange, US, Portland
1166, !, 206.126.237.79, AS26479, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
1167, ?, 187.16.216.16, AS42, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
1168, ?, 77.95.71.44, AS48072, Lyonix, LyonIX, GrenoblIX, GrenoblIX, FR, Lyon//Grenoble
1169, !, 206.123.0.22, AS22822, GTIIX, Greater Toronto International Internet Exchange, CA, Toronto
1170, !, 194.42.48.65, AS21040, Equinix Zurich, Equinix Zurich formerly TIX, CH, Zurich
1171, !, 80.249.208.251, AS12322, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1172, !, 80.249.208.159, AS25596, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1173, !, 193.156.120.203, AS33079, NIX2, Norwegian Internet Exchange Oslo 2, NO, Oslo
1174, !, 210.173.176.199, AS18134, JPNAP Tokyo, Japan Network Access Point Tokyo, JP, Tokyo
1175, !, 206.223.123.30, AS13768, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
1176, !, 195.66.224.119, AS12390, LINX, London Internet Exchange, GB//Kingdom United, London
1177, !, 198.32.125.114, AS13414, NOTA, NAP of the Americas, US, Miami
1178, !, 185.6.36.93, AS61145, INEX LAN1, Internet Neutral Exchange Association Ltd., IE, Dublin
1179, !, 194.68.128.135, AS3238, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
1180, !, 185.1.8.50, AS200612, UAE-IX, UAE-IX powered by DE-CIX, AE, Dubai
1181, !, 218.100.44.141, AS38280, MyIX, Malaysia Internet Exchange, MY, Lumpur Kuala
1182, !, 193.178.185.20, AS12693, BCIX, Berlin Commercial Internet Exchange, DE, Berlin
1183, !, 123.255.91.105, AS10098, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
1184, ?, 200.219.140.111, AS52669, PRIX, Ponto de Troca de Tráfego do Paraná, PTT Curitiba, IX.br Curitiba, BR, PR Curitiba//Paraná
1185, !, 210.184.127.51, AS6648, iAIX, iAdvantage Internet Exchange, HK, Hong Kong
1186, !, 193.156.90.22, AS12996, NIX1, Norwegian Internet Exchange Oslo 1, NO, Oslo
1187, !, 206.108.255.66, AS3128, MICE, Midwest Internet Cooperative Exchange, US, MN Minneapolis
1188, !, 193.203.0.219, AS9009, VIX, Vienna Internet Exchange, AT, Vienna
1189, !, 193.239.117.182, AS199599, NL-IX, Neutral Internet Exchange, NL, Amsterdam
1190, !, 80.81.194.28, AS28917, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1191, !, 80.249.208.225, AS133229, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1192, !, 196.223.14.72, AS327782, JINX, Johannesburg Internet Exchange, ZA//Africa South, Johannesburg
1193, !, 194.9.117.77, AS44194, ECIX-BER, European Commercial Internet Exchange Berlin, DE, Berlin
1194, !, 195.42.145.131, AS54113, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
1195, ?, 187.16.217.128, AS53116, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
1196, !, 119.27.63.9, AS36631, Equinix Hong Kong, Equinix Hong Kong, HK//CN, Hong Kong
1197, !, 195.66.237.107, AS2119, LINX, London Internet Exchange, GB//Kingdom United, London
1198, ?, 187.16.219.118, AS262575, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
1199, !, 195.208.208.78, AS44053, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
1200, ?, 187.16.218.166, AS53022, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
1201, !, 80.81.192.85, AS20647, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1202, ?, 198.32.212.91, AS55707, WAIX, Western Australian Internet Association, IX Australia WA, West Australian Internet Exchange, AU, Perth
1203, !, 196.10.140.91, AS37691, NAPAfrica, NAPAfrica Cape Town, ZA//Africa South, Cape Town
1204, !, 187.16.221.54, AS26162, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
1205, !, 194.116.96.7, AS15589, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
1206, !, 80.249.208.87, AS6774, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1207, !, 80.249.208.98, AS702, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1208, !, 194.116.96.242, AS41157, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
1209, !, 192.203.154.110, AS9245, APE, Auckland Peering Exchange, NZ//Zealand New, Auckland
1210, !, 91.213.211.14, AS24971, Peering.cz, Peering.cz eXchange, CZ//Republic Czech, Bratislava Prague
1211, !, 195.69.118.254, AS52005, Netnod COMIX, Netnod Internet Exchange i Sverige AB, SE, Copenhagen Malmo
1212, !, 103.16.102.69, AS2518, SGIX, Singapore Internet Exchange, SG, Singapore
1213, !, 195.66.224.146, AS15412, LINX, London Internet Exchange, GB//Kingdom United, London
1214, !, 203.163.222.36, AS10310, TPIX, Taipei Internet Exchange, TW, Taiwan Taipei
1215, !, 196.223.25.31, AS37386, UIXP, Uganda Internet Exchange, UG, Kampala
1216, !, 206.223.119.25, AS6079, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
1217, !, 195.66.224.211, AS36131, LINX, London Internet Exchange, GB//Kingdom United, London
1218, !, 194.68.123.116, AS3303, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
1219, ?, 200.14.75.2, AS52374, NAP CABASE Córdoba, NAP CABASE Córdoba, CABASE-COR, CABASE IXP Córdoba, AR, Córdoba
1220, !, 200.219.145.4, AS14026, PTT Salvador, IX.br Salvador, BR, Salvador BA
1221, ?, 218.100.27.215, AS24521, Open IXP, OpenIXP Internet exchange Point, OpenIXP / NiCE, National Inter Connection Exchange, ID, Indonesia//Jakarta
1222, !, 195.66.224.232, AS35228, LINX, London Internet Exchange, GB//Kingdom United, London
1223, ?, 187.16.217.191, AS53114, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
1224, !, 198.32.176.117, AS9318, Equinix- Palo Alto, Equinix Internet Exchange Palo Alto, US, Palo Alto
1225, !, 193.42.155.62, AS29140, ECIX HAM, European Commercial Internet Exchange Hamburg, DE, Hamburg
1226, !, 196.46.25.87, AS6774, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
1227, !, 209.124.52.10, AS62588, DET-IX, DET-IX, US, Detroit
1228, !, 198.32.125.65, AS27887, NOTA, NAP of the Americas, US, Miami
1229, !, 5.57.80.10, AS2529, LoNAP, London Network Access Point, GB//Kingdom United, London
1230, ?, 187.16.219.168, AS52681, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
1231, !, 196.223.22.37, AS32653, CINX, Cape Town Internet Exchange, ZA//Africa South, Cape Town
1232, !, 206.41.108.73, AS20473, FL-IX, FL-IX - The South Florida Internet Exchange, US, Miami
1233, !, 178.18.233.23, AS16300, DATAIX, Peering LTD, RU, RU St Petersburg Moscow Omsk Ekaterinburg Khabarovsk Novosibirs
1234, !, 195.66.226.230, AS20860, LINX, London Internet Exchange, GB//Kingdom United, London
1235, !, 80.249.209.166, AS29396, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1236, !, 206.126.225.19, AS26546, YYCIX, Calgary Internet Exchange, CA, Calgary
1237, !, 188.93.170.54, AS13002, LU-CIX, Luxembourg Commercial Internet Exchange, LU, Luxembourg
1238, !, 206.223.119.106, AS7342, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
1239, !, 194.146.118.121, AS43911, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
1240, !, 198.78.5.9, AS13730, MiamiIX, Miami Internet Exchange, US, Florida Miami
1241, !, 195.182.219.57, AS3169, PLIX, Polish Internet Exchange, PL, Warsaw
1242, !, 198.32.125.168, AS24482, NOTA, NAP of the Americas, US, Miami
1243, !, 193.203.0.49, AS12635, VIX, Vienna Internet Exchange, AT, Vienna
1244, !, 187.16.201.22, AS263076, PTT Maringá, IX.br Maringá, BR, PR Maringá
1245, !, 80.249.210.30, AS29990, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1246, !, 206.108.34.32, AS18650, TORIX, Toronto Internet Exchange, CA, Toronto
1247, !, 195.66.239.55, AS59701, LINX, London Internet Exchange, GB//Kingdom United, London
1248, !, 217.29.68.157, AS39120, MIX-IT, Milan Internet eXchange, IT, Milan
1249, !, 217.29.66.76, AS197075, MIX, Milan Internet eXchange, IT, Milan
1250, !, 187.16.220.141, AS26162, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
1251, !, 193.42.155.12, AS13101, ECIX HAM, European Commercial Internet Exchange Hamburg, DE, Hamburg
1252, !, 196.46.25.111, AS37670, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
1253, !, 80.249.208.81, AS8928, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1254, !, 206.108.255.120, AS14371, MICE, Midwest Internet Cooperative Exchange, US, MN Minneapolis
1255, !, 198.32.176.20, AS6939, Equinix- Palo Alto, Equinix Internet Exchange Palo Alto, US, Palo Alto
1256, !, 206.53.139.27, AS395126, Midwest-IX, , US, Indiana Indianapolis
1257, !, 80.249.210.217, AS16509, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1258, !, 80.249.208.125, AS31133, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1259, !, 103.16.102.97, AS16265, SGIX, Singapore Internet Exchange, SG, Singapore
1260, !, 218.100.52.110, AS133873, NSW-IX, , AU, Sydney NSW
1261, !, 27.111.228.232, AS9931, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
1262, !, 198.32.231.26, AS56196, NPIX, Nepal Internet Exchange, NP, Kathmandu
1263, !, 203.190.230.105, AS38651, Equinix Tokyo, Equinix Tokyo, JP, Tokyo
1264, !, 195.191.170.56, AS30813, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
1265, !, 195.191.171.145, AS199413, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
1266, !, 200.219.147.1, AS1916, PTT Recife, IX.br Recife, BR, Recife PE
1267, !, 193.110.12.99, AS12381, SOLIX, SOLIX, SE, Stockholm
1268, !, 194.88.240.23, AS42227, INEX, Internet Neutral Exchange Association Limited, IE, Dublin
1269, !, 103.16.102.98, AS32590, SGIX, Singapore Internet Exchange, SG, Singapore
1270, !, 195.69.117.194, AS42708, Netnod COMIX, Netnod COMIX, SE//DK, Copenhagen Malmo
1271, !, 193.239.117.127, AS44053, NL-IX, Neutral Internet Exchange, NL, Amsterdam
1272, !, 80.249.208.91, AS6805, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1273, !, 119.110.117.87, AS8674, MCIX, Matrix Cable Internet eXchange, ID, Jakarta
1274, !, 187.16.222.130, AS263880, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
1275, !, 194.9.117.38, AS34171, ECIX-BER, European Commercial Internet Exchange Berlin, DE, Berlin
1276, !, 187.16.221.202, AS61580, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
1277, !, 195.66.226.21, AS37054, LINX, London Internet Exchange, GB//Kingdom United, London
1278, !, 27.111.228.101, AS9381, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
1279, !, 193.239.116.178, AS39704, NL-IX, Neutral Internet Exchange, NL, Amsterdam
1280, !, 206.223.118.237, AS57976, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
1281, !, 185.6.36.88, AS199256, INEX LAN1, Internet Neutral Exchange Association Ltd., IE, Dublin
1282, !, 195.66.244.41, AS199121, IXManchester, IXManchester powered by LINX, GB//Kingdom United, Manchester
1283, !, 194.116.96.58, AS42, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
1284, !, 193.203.0.131, AS21013, VIX, Vienna Internet Exchange, AT, Vienna
1285, !, 195.66.237.70, AS36692, LINX, London Internet Exchange, GB//Kingdom United, London
1286, !, 80.249.210.102, AS196689, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1287, ?, 198.32.118.32, AS15557, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
1288, !, 206.223.118.232, AS32505, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
1289, !, 218.100.6.84, AS15133, BBIX Tokyo, , JP, Tokyo//Fukuoka
1290, !, 123.255.90.136, AS2497, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
1291, !, 185.1.47.3, AS15169, DE-CIX Marseille, DE-CIX the Marseille Internet Exchange, FR, Marseille
1292, !, 194.68.123.43, AS2906, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
1293, !, 206.223.118.32, AS11164, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
1294, !, 80.249.208.171, AS15703, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1295, !, 218.100.52.181, AS45447, NSW-IX, , AU, Sydney NSW
1296, !, 203.159.68.100, AS45796, BKNIX, Bangkok Neutral Internet Exchange, TH, Bangkok
1297, !, 185.1.18.10, AS15763, DO-IX, Dortmund Internet eXchange, DE, Dortmund
1298, !, 198.32.141.140, AS15169, SOX, Singapore Open Exchange, SG, Singapore
1299, !, 123.255.90.212, AS3491, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
1300, !, 206.53.139.8, AS11142, Midwest-IX, , US, Indiana Indianapolis
1301, !, 27.111.228.5, AS5511, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
1302, !, 218.100.6.47, AS2518, BBIX Tokyo, , JP, Tokyo//Fukuoka
1303, !, 198.32.160.100, AS27257, NYIIX, New York International Internet Exchange, US, York New
1304, !, 198.32.195.43, AS36687, NWAX, Northwest Access Exchange, US, Portland
1305, !, 194.146.118.157, AS50629, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
1306, !, 206.126.236.132, AS13445, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
1307, ?, 77.95.71.73, AS44141, Lyonix, LyonIX, GrenoblIX, GrenoblIX, FR, Lyon//Grenoble
1308, !, 200.219.138.2, AS26592, PTT Rio de Janeiro, IX.br Rio de Janeiro, BR, Janeiro Rio RJ de
1309, !, 206.126.237.161, AS63242, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
1310, !, 218.100.0.26, AS9650, PIPE Brisbane, PIPE Networks Brisbane, AU, Brisbane
1311, ?, 77.95.71.106, AS198435, Lyonix, LyonIX, GrenoblIX, GrenoblIX, FR, Lyon//Grenoble
1312, !, 206.223.119.171, AS13414, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
1313, !, 196.10.140.45, AS37457, NAPAfrica, NAPAfrica Cape Town, ZA//Africa South, Cape Town
1314, !, 195.66.225.91, AS23148, LINX, London Internet Exchange, GB//Kingdom United, London
1315, !, 206.126.240.133, AS43531, AMS-IX NY, AMS-IX New York, US, York New
1316, !, 80.81.193.67, AS13030, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1317, !, 206.53.207.6, AS5118, Aloha-IX, Aloha-IX, US, Honolulu
1318, !, 80.81.203.21, AS45012, DE-CIX Hamburg, DE-CIX Hamburg, DE, Hamburg
1319, !, 206.108.255.64, AS20115, MICE, Midwest Internet Cooperative Exchange, US, MN Minneapolis
1320, !, 193.239.116.248, AS42707, NL-IX, Neutral Internet Exchange, NL, Amsterdam
1321, !, 206.223.119.220, AS53828, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
1322, !, 206.41.104.9, AS6407, VANIX, Vancouver Internet Exchange, CA, Vancouver
1323, !, 217.29.66.69, AS8928, MIX, Milan Internet eXchange, IT, Milan
1324, !, 200.1.6.9, AS23487, NAP.EC - UIO, NAP / IXP / IX / PIT del Ecuador - Quito, EC, Quito UIO
1325, !, 119.27.63.111, AS2906, Equinix Hong Kong, Equinix Hong Kong, HK//CN, Hong Kong
1326, !, 91.210.16.31, AS47200, NIX.CZ, NIX.CZ - Neutral Internet eXchange for the Czech Republic, CZ//Republic Czech, Prague
1327, !, 204.228.158.7, AS54329, SLIX, Salt Lake Internet Exchange, US, Utah//City Salt Lake
1328, !, 103.26.71.38, AS13335, MegaIX Melbourne, Megaport MegaIX Melbourne, AU, Melbourne
1329, !, 200.14.37.5, AS52332, , NAP CABASE Bahía Blanca, AR, Bahía Blanca
1330, !, 195.208.209.45, AS13249, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
1331, !, 5.57.80.6, AS20562, LoNAP, London Network Access Point, GB//Kingdom United, London
1332, !, 194.146.118.111, AS25295, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
1333, !, 80.81.202.253, AS47228, DE-CIX Munich, Deutscher Commercial Internet Exchange Munich, DE, Munich
1334, !, 193.239.116.150, AS42492, NL-IX, Neutral Internet Exchange, NL, Amsterdam
1335, !, 203.190.230.73, AS32934, Equinix Tokyo, Equinix Tokyo, JP, Tokyo
